Production_company,No. of movies
Ansonia Management,1
Ansor International,1
Antarctic Pictures,3
Antares Produzione Cinematografica,1
Antares,2
Antea Cinematografica,4
Antea Films,1
Antena 3 Films,5
Antena 3 TelevisiÃ³n,20
Antena AragÃ³n,1
Antena Latina,2
Antenna TV,2
Antennafilms,1
Antenne 2,1
Anthea Film,2
Anthem Pictures,1
Anthill Productions,2
Anthony Buckley Films,1
Anthony Buckley Productions,1
Anthony J. Vozza Productions,1
Anthony Productions,1
Anthropolitan,1
Antibes Inc.,1
Antic Pictures,1
Anticlock Films,1
Antidote Films (I),4
Antiteater-X-Film,6
Antoinine Green Bridge,1
Anton Ernst Entertainment,1
Antonelliana Cinematografica,1
Antonine Films,1
Antonio DÃ­az Lombardo,1
Antron Media Production,1
Anu Arts,1
Anubhav Sinha Productions,1
Anubis Digital Studios,1
Anuline,1
Anurag Kashyap Films,1
Anvil Films,1
Anvil Post Production,1
Anvil Studios,1
Anxiety Island Entertainment,1
Anytime Pictures Co. Ltd.,2
Anyway Productions,1
Anzervos,4
Ao Lixao Comercio de Moveis Ltda.,1
Aoi Promotion,6
Aozora Investments,1
Aparanjeeth Films,1
Apatow Productions,2
Apema Filmes,1
Apertura Films,1
Apex Attractions,1
Apex Motion Pictures Sales Limited,1
Aphasiafilms,1
Apjac International,1
Apjac-Orchard Productions,1
Apocalypse FX,1
Apocalypse Film Projects Inc.,1
Apocalypse Filmworks Productions,1
Apocalypso Pictures,1
Apogee Films Venture,1
Apollo Film,1
Apollo Leisure Group,1
Apollo Pictures,2
Apollo Productions,1
Apollo,2
ApolloMedia Distribution,10
ApolloProMedia GmbH & Co. 1. Filmproduktion KG (I),3
ApolloProMovie & Co. 1. Filmproduktion,2
ApolloProMovie & Co. 2. Filmproduktion,1
Apostle,4
Apostolof Film Productions (A.F.P.I.),1
Apotheosis Film,2
Appaloosa Entertainment,1
Appian Way,2
Applaus Pictures Limited,1
Applause Bhansali Productions,1
Applause Films,1
Applause Pictures,5
Apple & Honey Productions,1
Apple / Rose Productions,1
Apple Corps,3
Apple Film Productions,1
Apple Films,1
Applecreek Communications Inc.,2
Applecreek Productions,4
Appledown Films Inc.,1
Applied Action,2
Appling Pictures,1
April Communications,1
April Films,3
April Productions,1
April Showers,1
Apropos Films,1
Apsicon Productions,1
Apuntolapospo,2
Aquafilms,4
Aquarian Productions,1
Aquarius Films,1
Aquifilm,1
Aquila Cinematografica,2
Aquila Film Enterprises,3
Aquila Pictures,1
Arabella,1
Arachnid Productions Ltd.,1
Arad Productions,1
Aragon Media International (AMI),1
Araki Office Company Ltd.,1
Arama Entertainment,2
Arama Film Productions,1
Aramid Entertainment Fund,2
Aran,1
Aranciafilm,2
Arato Film Inc.,1
Arau Films Internacional,1
Arauco Films,1
Arbash,1
Arbeitsgemeinschaft der Ã¶ffentlich-rechtlichen Rundfunkanstalten der Bundesrepublik Deutschland (ARD),2
Arbo,1
Arc Light Films,5
Arc Productions,1
Arc2 Intertainment,2
Arca Difusa,1
Arca Ltda.,1
Arca-Filmproduktion GmbH,6
Arca-Winston Films Corp.,4
Arcade Pictures,1
Arcade,1
Arcadia Films,1
Arcadia Motion Pictures,1
Arcadia Pictures Corp.,1
Arcadian Pictures,1
Arcadie Productions,2
Arcafin B.V.,1
Arcane Pictures,1
Arcapix,2
Arch Oboler Productions,3
Archangel Filmworks,2
Archer Entertainment Group,2
Archer Street Productions,1
Archerwest,2
Archetype Films Ltd.,1
Archetype Films,1
Archie Films,1
Archimede,1
Archipel 33,3
Archipel 35,2
Arcimboldo Y.K.,6
Arcipelago Cinematografica,1
Arclight Partners,1
Arclightz and Films Pvt. Ltd.,1
Arco Film,10
Arco Films S.L.,1
Arco Films,3
Arcola Pictures,10
Arctic Blue Inc.,1
Arctic-Filmi,2
Arcview Entertainment,1
Ardennes Films,1
Ardent Films,1
Ardican Films,1
Arena Films,17
Arena Productions,8
Arena,2
Arenafilm,8
Arenas Entertainment,1
Arenico Productions GmbH,1
Aretusa Film,1
Arge Heimat,1
Argent Film Productions,2
Argentarts,1
Argentic Pictures,1
Argentina Sono Film S.A.C.I.,10
ArgentoVivo,1
Argentum Productions,1
Argo Film Productions,1
Argo Pictures,1
Argonauts Productions S.A.,4
Argos Cine,1
Argos Films,17
Argos P.C.,1
Argosy Films,1
Argosy Pictures,7
Argui-Film,1
Argus Film Produktie,6
Argus Film,1
Argyle Enterprises,2
Argyle Productions,1
Argyll Film Partners,1
Aria Films,2
Aria films,1
Ariadne,1
ArieScope Pictures,3
Ariel Film,1
Ariel Films,1
Aries CinematogrÃ¡fica Argentina,11
Aries Films International,2
Aries Productions,2
Aries,6
Ariola Productions. Inc.,1
Arion Productions,1
Arion,1
Arista Films,2
Arista Productions Inc.,1
Arizona Films,1
Ariztical Entertainment,2
Arjoe Entertainment (India) Pvt. Ltd.,1
Ark Entertainment,1
Ark Pictures,1
Arkafilm,1
Arkangel Productions,1
Arkanjel Productions,1
Arkham Northwest Productions,1
Arkles Entertainment,1
Arkoff International,4
Arma Films,1
Armada Pictures,1
Armada Productions,1
Armadillo Film,1
Armagedon Producciones,1
Armak Productions,1
Arman Film,1
Armenfilm,1
Armenkino,1
Armian Pictures,1
Armitage Film Productions Ltd.,1
Armitage,1
Armor Films Inc.,1
Arne Sucksdorff Filmproduktion,1
Arnold & Richter Cine Technik (ARRI),2
Arnold Kopelson Productions,1
Arnold Leibovit Entertainment,1
Arnold Pressburger Filmproduktion,1
Arnold Pressburger Films,4
Aro Productions Inc.,1
Arokaria,1
Aron Govil Productions,1
Arora,1
Arpa Productions,1
Arpi Productions,1
Arriba,1
Arritmia Ltd.,1
Arrival Pictures,1
Arroba Films S.A. de C.V.,1
Arrow Films,1
Arrow,1
Arrowhead Entertainment,2
Arrowhead Pictures,2
Arrowhead Productions,1
Ars Media,2
Arsenio Hall Communications,1
Art & Talent Group,1
Art Bureau of the Organization for the Propaganda of Islamic Thought,1
Art Cinema Corporation,1
Art Factory,1
Art Film 80,3
Art Films,1
Art Finance Corporation,1
Art Held Hostage,1
Art Hill,1
Art In Motion,1
Art Linson Productions,2
Art Oko Film,1
Art Pain Films,1
Art Pictures Group,2
Art Pictures Studio,2
Art Port,8
Art Production,1
Art Sea Films,1
Art Theatre Guild (ATG),26
Art Top Movie Productions Ltd.,2
Art and Future Film Fabrik,1
Art of This Century Films,1
Art of War Films,1
Art-Light Productions,3
ArtFilms,1
ArtStar Pix,1
Arta Film,1
Artangel Media,1
Artanis Productions Inc.,1
Artanis Productions,1
Artbox,1
Artcam International,9
Artco-Film,2
Artcraft Pictures Corporation,4
Arte France CinÃ©ma,53
Arte France,40
Arteam ProdukciÃ³s Iroda,1
Artear,3
Artefacto producciones,1
Artemis Film,1
Artfilm,3
Artfire Films,1
Artforce International,1
Arthouse Traffic,1
Arthur Cantor Films,1
Arthur Cohn Productions,1
Arthur Goldblatt Productions,1
Arthur Lubin Productions,2
Arthur Pictures,1
Arthur S. Lyons Productions,1
Artic Productions LLC,1
Articulus Entertainment,1
Artificial Eye,1
Artikulacija,1
Artimagen,1
Artimm,1
Artina Films,1
Artis 3,1
Artis Film,2
Artisan Entertainment,17
Artisan Films,1
Artist & Repertoire Filmproduction,1
Artist Circle Entertainment,1
Artist Film Company,1
Artist Film,5
Artist Services,2
Artist View Entertainment,1
Artista Filmi Oy,1
Artista Management,1
Artistas Argentinos Asociados (AAA),1
Artistes Alliance Ltd.,1
Artisti Associati,2
Artistic Film Production Company,1
Artistry Limited,1
Artists Alliance,1
Artists Complex Pictures,1
Artists Entertainment Complex,5
Artists Independent Productions,2
Artists Management Group (AMG),1
Artists Production Group (APG),1
Artists Public Domain,1
Artists Union For Cinema & Video,1
Artists XVI Productions,1
Artomas Communications,1
Artphile,1
Arts Council Of Northern Ireland's Lottery Fund,1
Arts Council of England,32
Arts Council of Wales,2
Arts and Letters Entertainment,2
Arturo GonzÃ¡lez Producciones CinematogrÃ¡ficas,2
Arturo Production,1
Arturo Productions,1
Artview Investment Co. Ltd.,1
Artwell Productions,1
ArtÃ©dis,2
ArtÃ©mis Productions,8
Arunachala Cine Creations,1
Aruze,1
Arvo Film,1
Arwin Productions,8
Aryaman Films,1
Aryan Films,1
Aryana Film,1
Arzu Film,19
As Films ProducciÃ³n,3
AsDuesDon,1
Asahi Breweries,1
Asahi Broadcasting Corporation (ABC),9
Asahi National Broadcasting Company,4
Asahi Shimbun,7
Asam Film Company Inc.,1
Asap Films,1
Asatsu,2
Asbrell Productions,1
Asbury Park,1
Ascendant Pictures,2
Ascension Pictures,1
Ascona Films Inc.,1
Ascot Entertainment Group,1
Ascot Film,6
Ascot,4
Asegarce Zinema,1
Asgaard Entertainment,2
Ashdale Films Malta Ltd.,1
Ashdown-Gonzalez Productions,1
Asher-Grodin Productions,1
Ashi Productions Company,2
Ashirbad Chalachchitra,1
Ashok Honda Productions,1
Ashok Mehta Visuals Pvt. Ltd.,1
Ashtianfilm Production,1
Ashton Productions,2
Ashutosh Gowariker Productions,2
Asia Culture Technology Investment,1
Asia Premium Investment,1
Asia Union Film & Entertainment Ltd.,1
Asian Union Film & Entertainment,4
Asian Union Film Ltd.,1
Asian Vision,1
Asiatic Associates,2
Aska Film Productions,2
Aslan Productions,1
Asmik Ace Entertainment,26
Aspa Producciones CinematogrÃ¡ficas,1
Asparas Films,1
Aspect Ratio Film,1
Aspect,1
Aspen Film Society,5
Aspen Productions (I),3
Aspiration Films,1
Assassin Films,2
Assise Productions,1
Asso Asia Films,2
Associated British Picture Corporation (ABPC),44
Associated British Productions (ABP),1
Associated British-PathÃ©,6
Associated Dragon,1
Associated Film Productions,1
Associated Films & Finance Corporation,1
Associated General Films,5
Associated London Films,6
Associated Players & Producers,1
Associated Producers (API),15
Associated Talking Pictures (ATP),6
Associated Television (Overseas) Limited,2
Association CoopÃ©rative des Productions Audio-Visuelles (ACPAV),7
Association of Cinema Technicians (A.C.T.),2
Associazione Nazionale Partigiani d'Italia (ANPI),1
Asta Film,2
Aston Film,1
Astoria Films,2
Astors Entertainment,1
Astra Film,1
Astra Productions,1
Astrablu Media,1
Astrakan Films,1
Astral Bellevue PathÃ©,9
Astral Films,5
Astral Media,4
Astral TV,1
Astralwerks,1
Astrid Lindgrens VÃ¤rld,1
Astro C.C.,2
Astro Shaw,1
Astrolabio Producciones S.L.,1
Astron,1
Asya Film,1
Asylum Films,1
Asymmetrical Productions,1
Atadeniz Film,2
Atchafalaya,1
Atelier 41,1
Atelier de Production de la Cambre ASBL,1
Ateliers ZlÃ­n,2
Atenea Films,2
Athanor,4
Athena Enterprises,1
Athena Film A/S,1
Athena Film Company,1
Athena Productions,1
Athens Film Company,1
AthÃ©na Films,1
AthÃ©naÃ¯se,1
Atilla Pictures,1
Atitude ProduÃ§Ãµes e Empreendimentos,1
Atlab,1
Atlanta Productions,1
Atlantic Consolidated Enterprises (ACE),1
Atlantic Enterprises (Poole),1
Atlantic Entertainment Group,11
Atlantic Film Productions,2
Atlantic Film Productions.,1
Atlantic Group Films,1
Atlantic Pictures (II),1
Atlantic Pictures,1
Atlantic Productions,2
Atlantic Streamline,2
Atlantic,1
Atlantica Cinematografica Produzione Films,5
Atlantik Film,2
Atlantique Productions,1
Atlantis Film,3
Atlantis Films,2
Atlantis Pictures,4
Atlas Entertainment,6
Atlas Filmselskabet A/S,1
Atlas International Film,4
Atlas Ltd.,1
Atlas Productions,1
Atlas Saskia Film,1
Atlas,3
Atloyo,1
AtlÃ¡ntida Films,7
AtlÃ¢ntida CinematogrÃ¡fica,1
Atman Entertainment,1
Atmo Media Network,1
Atmosphere Entertainment MM,1
Atmosphere Film S.r.l,1
Atmovie Creative,1
AtomFilms,2
Atomic Erotic,1
Atomic Films S.A.,1
Atopia,1
Atossa Film Produktion GmbH,2
Atriascop Paris,1
Atrium Productions,1
Atta Girl Productions,2
Attention Moteur!,2
Attica Film Company,1
Attica Films Ltd.,1
Attika S.A.,2
Attori Registi Solidali (A.R.S.),1
Attr@ttivo,1
Atzeca,2
Aubrey Baring Productions,1
Aubrey Schenck Productions,15
Audience Alliance Motion Picture Studios (AAMPS),1
Audifilm,1
Audio Visual Enterprises,2
Audiovision,1
Audiovisuellt Produksjonsfond,2
Auditel,1
Audley Films LLP,1
Audubon Films,1
Augsburger Puppenkiste,1
August Entertainment,5
August Fire Productions Inc.,1
Augusto Genina,1
Augustus Film,3
Aum Films,1
Aura Entertainment,2
Aura Film,1
Aura Films,1
Aura,1
Aurica Finance Company,1
Aurilia Arts Productions,2
Auro Cinematografica,2
Aurora Enterprises,1
Aurora Entertainment,1
Aurora Film Corporation,1
Aurora Films Ltd.,1
Aurora Productions LLC,2
Aurora,6
Aurum Producciones,3
Aurum,1
Auster Films,1
Austin Film Group,2
Austra,1
Australian Asset Securities Limited,1
Australian Broadcasting Corporation (ABC),4
Australian Children's Television Foundation,1
Australian Film Finance Corporation (AFFC),46
Australian Film Productions,1
Australian Film,1
Australian International Film Corp. (AIFC),3
Australian International Pictures Pty. Ltd.,1
Auteur Entertainment,2
Authority Films,1
Auto Images,1
Automatic Film,1
Automatic Media,2
Automatic Pilot Ltd.,1
Autonomous Films,1
Autonomous,1
Autorenfilm-Produktionsgemeinschaft,1
Autumn Entertainment,1
Autumn Pictures,2
Autumn Productions,1
Available Light Productions,1
Avala Film,22
Avalanche Films,1
Avalanche Productions,3
Avalon Family Entertainment,1
Avalon Films,1
Avalon,1
Avant Films S.A.,2
Avant,2
Avanti Media Fiction,1
Avantmark Pictures,1
Avatar Entertainment Group,1
Avatar Films,1
Avatar Media,1
Avco Produktion,1
Avenet Images Productions,3
Avenging Conscience,1
Avenging Venture,1
Avenue Pictures,10
Avery Pix,4
Avex Asia,1
Avex Entertainment,10
Avex Inc.,3
Avi Arad & Associates,1
Avi Arad Productions,1
Avi Chai fund,1
Avia Films,3
Avianca Productions Ltd.,1
Aviator Films,1
Aviles Street Productions,1
Avion Post-Production,1
Aviron Pictures,1
Avis Film,2
Avista Film,4
Avnet/Kerner Productions,3
Avon Productions (II),9
Avondale Pictures,1
Avrig Group,1
Avrio Filmworks,1
Avrio Stoneridge Entertainment,1
Avrora Media,2
Avsar Film,5
Avton Films,2
Avventura Films,3
Award Entertainment,4
Award Films,1
Axe Films,1
Axelotil Film,1
Axiom Films,1
Axis Films International/Davis Joint Venture,1
Axis Films,1
Axman Productions,1
Axolote Cine,1
Ayuntamiento de Zaragoza,1
Azalea Pictures,1
Azalea Producciones CinematogrÃ¡ficas,1
Azimuth,1
Azoff Entertainment,1
Azor Films,2
Azpeitia Cine,3
Azteca Films,1
Azucar Entertainment,1
Azucar Films,1
Azurelite Pictures,1
B & A Productions,1
B & B Film Company Production,1
B & C Filmproduktion GmbH,1
B&B Productions,1
B&H Productions Inc.,1
B&K Film Productions,1
B&W Films Inc.,1
B&W Films,1
B+BOY Productions,1
B. Lawrence Price Jr. Productions,1
B. Lord Productions,1
B. Subhash Movie Unit,3
B. and S. Productions,1
B.A. Filmproduktion,3
B.A. Produktion,4
B.A.G Films,1
B.C. Film,1
B.C. Films,1
B.C.D. Entertainment Corporation,1
B.D. Production,1
B.F. Zeidman Productions Ltd.,1
B.G. DeSylva Productions Inc.,1
B.H.E. Productions,1
B.J. Creators,1
B.K. Combines,1
B.L. Vision,1
B.M.B. Pictures,2
B.N. Films,1
B.O.B. and Partners,10
B.O.M. Film Productions Co.,7
B.P. Schulberg Productions,6
B.P.A. Productions,2
B.R. Films,1
B.R.C. Produzione S.r.l.,11
B.T.O. Films,1
B.U.P. FranÃ§aise,2
B4MH Productions,1
BAIT (Bay Area Independant Theatrics),1
BALS,1
BAP Inc.,1
BAS Film Productions Inc.,2
BAV Film,1
BB Cable,1
BBC Arena,1
BBC Bristol,1
BBC Films,40
BBC Scotland,2
BBE,1
BBI Entertainment,1
BBS Productions,3
BC,1
BCM Roadshow Productions,1
BCR Produzioni Cinematografiche,1
BD Cine,10
BDI Films Inc.,1
BDS Productions,1
BDYD Productions,1
BEC-TERO Entertainment,1
BET Pictures,2
BFA Productions Ltd.,1
BFD,1
BFI Experimental Film Fund,1
BFI Production,3
BFL Productions,1
BGOI Films,1
BHE Films,3
BHP,1
BIF Productions,1
BIG Pictures,4
BIM Distribuzione,2
BJLJ International Corp.,1
BK Pictures,1
BKP Film,1
BL Prod.,1
BLB Media,1
BLC Services,1
BLT Productions,1
BM Entertainment,1
BMA,2
BMBC Productions,1
BMG Films,1
BMG Funhouse,1
BMG Independents,8
BMG Models,1
BMI (No. 9) Ltd.,1
BMP Films,1
BMore Pictures,1
BNK48 Films,1
BNN TV,2
BNS Productions,1
BNT,4
BOB Film Sweden AB,4
BOP Films,1
BOS Productions,1
BR PetrobrÃ¡s,1
BR-Arte,1
BR2 Productions,1
BRTN Fictie,1
BS24,1
BSB Cinema,1
BSB,3
BSM Studio,1
BUCK Productions,1
BV Entertainment Inc.,1
BV Films International,1
BV International Pictures,2
BV-film AS,1
BVNG Productions,3
Baa-Ram-Ewe,8
Baba Films,5
Babe Film,2
Babelsberg Film,6
Babelsberg International Film Produktion,1
Babibutafilm,1
Babieka,2
Baby Cow Films,1
Baby Films,1
Baby Shark Inc.,1
Baby Steps Entertainment,1
Babylon,1
Babylone Films,3
Bac Films,17
Bacchus Entertainment,1
Bachelor Party Productions,1
Bachim Films,1
Back East Money,1
Back Home Productions Inc.,1
Back of Beyond Films,1
Backbone Productions,1
Backburn Pictures Inc.,1
Backlash Films,1
Backpain Productions,2
Backroads Productions,1
Backstage Productions,1
Backup Media,4
Backward Films,1
Bad Aaas Cinema,1
Bad Biology,1
Bad Bird Productions,1
Bad Boys Films,1
Bad Clams Productions,1
Bad Fourteen Pictures,1
Bad Lt. Productions,1
Bad Monkey Productions,1
Bad Movies,2
Bad Rabbit Pictures,1
Bad Robot,1
Bad Taste Visual Voice,1
Bader Bros. Pictures,1
Badland Corporation,1
Badland Pictures,1
Badman Productions,1
Bae Chang-ho Productions,1
Bae Yong-Kyun Productions,1
Baer Production Company,1
Bagdasarian Productions,1
Baggage,1
Bahman Ghobadi Films,1
Bahr Productions Inc.,1
Bahu Films,1
Bailando en la Luna,1
Bailey/Hayes Productions,1
Baio / White Productions,1
Baio-Brascia-Venokur Productions,2
Baker Street,3
Baker's Hawk Ltd.,1
Bakshi Animation,1
Bakshi Productions,3
Balagan Productions,1
Balaji Motion Pictures,1
Balaji Telefilms,4
Balanzan,1
Balasubraniam & Company,1
Balatbat Productions,1
Balblair Productions,1
Balboa 2 ApS,1
Balboa Enterprise ApS,2
Balboa Entertainment,1
Balch,1
Balcones Entertainment,1
Balcor Film Investors,8
BalcÃ¡zar Producciones CinematogrÃ¡ficas,4
Bald Film,1
Baldini Pictures,1
Baldwin/Cohen Productions,2
Baleuko S.L.,1
Bali Productions Inc.,1
Baliverna Films,1
Balkan Productions,1
Ballet Diesel Films,2
Ballistic Media Group,1
Ballpark Productions Partnership,2
Balmoral Associates,1
Baltazar Works,1
Baltea Film,1
Balthazar Productions,2
Baltic Film Group,2
Baltic Industrial Finance,1
Baltimore Pictures,9
Baltimore Spring Creek Productions,2
Balut Productions,1
Balzac Films,2
Balzer International Films (BIF) Ltd.,2
BalÃ¡zs BÃ©la StÃºdiÃ³,3
Bambi Productions,1
Bamboo Pictures,1
BambÃº Cinema e TV,1
Bamdad Film,2
Bamore,2
Banana Brothers Entertainment Inc.,1
Banana Films,3
Banana Peel Entertainment,1
Banana Seat Films,1
Bananeira Filmes,3
Bancannia Holdings Pty. Ltd.,1
Banco Film,1
Banco Nacional de Minas Gerais,1
Banco Rural,1
Bandai Entertainment Inc.,5
Bandai Films,1
Bandai Visual Company,44
Bandai,3
Bandeira Entertainment,7
Bandido Productions,1
Bandit,1
Bandits Longs,1
Bando Tsumasaburo Production,1
BandonÃ©on,1
Bandora,1
Bandra West Pictures,2
Banfilm,3
Bang Bang Film Productions,1
Bang Bang Films,1
Bangor Films,4
Banned In America Films Inc.,1
Banner Entertainment,3
Banner Films Ltd.,1
Banner Productions (II),1
Bannert-Film,1
Banque Nationale de Paris,1
Bantam Street Productions,1
Bantam Street,1
Bao Shiung Film & Communication,1
Barakacine Producciones,2
Barbara Gladstone Gallery,1
Barbara Moorse Workshop,2
Barbara,4
Barbarian Films,2
Barbet Film Productions,1
Barbican Films,2
Barbizon Productions Inc.,2
Barbroo Productions,1
Barcelona Films,1
Barcino Films,1
Barclay,1
Barclays Mercantile Industrial Finance,3
Bard Entertainments,2
Bare Bones Productions,1
Bare Knuckles,1
Barefoot Films,3
Barentsfilm AS,1
Barmak Film,1
Barna-Alper Productions,1
BarnabÃ© Productions,2
Barnesology Pictures,2
Barnholtz Entertainment,3
Barnstorm Pictures,1
Baroda,1
Barquel Creations,1
Barracuda Films,1
Barrandov Biografia,1
Barrandov Studios,1
Barron Entertainment,4
Barry & Enright Productions,3
Barry Films,1
Barry R. Cooper Productions,1
Bartel,1
Bartl / Laupert / Dierbach Filmprodutktion,1
Bartlett Films,1
Bartlett-Champion Productions,1
Barunson E&A,2
Barwood Films,2
Barzo Productions,1
Basara Pictures,7
Base 12 Productions,1
Base Industries Group,3
Base Production Ltd.,1
Basic Pictures,2
Basilisk Communications,1
Basket Case Productions,1
Basmati Blues,1
Basra Entertainment,1
Bass Entertainment Pictures,2
Bastard Amber Productions,1
Bastard Film,1
Bastille Films,1
Bates Entertainmant,1
Bates Entertainment,2
Batjac Productions,11
Battle Ground,1
Battleplan Productions,3
Bauer Martinez Studios,9
Baum/Dantine Productions,1
Baumgarten-Prophet Entertainment,3
Bavaria Atelier,8
Bavaria Film and Television Fund,1
Bavaria Film,32
Bavaria Filmverleih- und Produktions GmbH,7
Bavaria Pictures,2
Bavaria-Filmkunst,2
Baweja Movies,3
Bay Cities,1
Bay Kinescope,1
Bayerische Film- und FernsehfÃ¶rderung,1
Bayerischer Banken-Fonds,8
Bayerischer Rundfunk (BR),26
Bayside Pictures,2
Bazelevs Production,3
Bazmark Films,1
Bazooka Films,1
Be Gentlemen Limited Partnership,1
Be Your Own Hollywood,1
Be-Wild,3
Be-Ya Film,2
Beachwold Productions,1
Beachwood Pictures,1
Beacon Communications,10
Beacon Films Inc.,1
Beacon Pictures,1
Beacon Productions (III),1
Beaconsfield Productions,1
Beagle II Productions,1
Beam Entertainment,2
Beambright,1
Beanca Films,1
Bear Entertainment,2
Beast of Eden Productions,1
Beat Pirate Films,3
Beatrice Film,3
Beattie/Chesser,1
Beauftragter der Bundesregierung fÃ¼r Angelegenheiten der Kultur und der Medien (BKM),1
Beautiful Kate Productions,1
Beautiful Pictures,1
Beauty Shop LLC,1
Beaux Arts Films Inc.,1
Beaver Films,2
Beaver Productions,1
Beaver-Champion Attractions,2
Because Entertainment,1
Because,1
Bech Film,1
Becker & HÃ¤berle Filmproduktion GmbH,3
Becker Entertainment,2
Becker Films,1
Beckerman Productions,1
Beckner/Gorman Productions,1
Beco Films,4
Bed & Breakfast Productions Inc.,1
Bedard/Lalonde Amusements,1
Bedford Films,1
Bedford Pictures Inc.,1
Bedrock Holding,1
Bee Movies,2
Bee One Productions,1
Beech Hill Films,4
Beechtree Films,1
Behaviour Worldwide,2
Behnegar,3
Beijing 21 Century Bona Film,1
Beijing Bu Yi Le Hu Film Company,1
Beijing Chengtian Zhuhong TV & Film Production Co.,1
Beijing Ciwen Digital Oriental Film & TV Production Co.,1
Beijing Crimson Culture & Media Company,1
Beijing Dragon Garden Culture & Art,1
Beijing Film Studio,18
Beijing Forbidden City Film,2
Beijing Frontline Production,1
Beijing Golden Skyway Media Co.,1
Beijing HOP Culture,1
Beijing Jin-Gu Film Workshop,1
Beijing Jinyinma Movie & TV Culture Co.,2
Beijing New Picture Film Co.,4
Beijing Poly-bona Film Distribution Company,1
Beijing Poly-bona Film Publishing Company,2
Beijing Rosat Film & TV Production Co. Ltd.,1
Beijing Salon Films,1
Beijing ShengShi HuaRei Film Investment & Management Co.,1
Beijing Skywheel Entertainment Co.,1
Beijing Youth Film Studio,1
Bejing New Picture Distribution Company,1
Bel Air Entertainment,3
Bel Ombre Films,2
Bel-Air Productions,14
Bela Film,1
Bela Productions,2
Belafonte Enterprises,1
Belarusfilm,2
Belbo Films,3
Belfilms,1
Belfort Films,1
Belga Films,2
Belge CinÃ©ma Film,1
Belgique CinÃ©,1
Belgische Radio en Televisie (BRT),1
Belgoskino,1
Belgrave,1
Believe Limited,1
Believe Pictures,3
Bell & Howell,1
Bell Broadcast and New Media Fund,1
Bell Film,1
Bella Films,1
Belladonna Productions,7
Bellatrix,1
Bellboy Films Limited,1
Belltower Productions,1
Bellwether Films,1
Bellwood Stories,1
Belma Cinematografica,1
Belmont Productions,1
Belokan Productions,2
Below The Belt Entertainment,1
Belstar Productions,5
Belvedere Entertainment,1
Belvision,6
Ben Arbeid Productions,1
Ben Judell,1
Ben Katz Productions,2
Ben Stoloff Productions,2
Ben's Sister Productions,1
Ben-Ami/Leeds Productions,1
Benagoss Productions,2
Benaras Mediaworks,1
Benchmark,1
Bend It Films,1
BenderSpink,2
Bendercine S.A.,1
BenecÃ© Produccions,1
Benedict Bogeaus Production,23
Benedict Pictures Corp.,1
Benefit Productions,1
Benfeghoul Goldberg Filmproduktion,1
Benjamin Productions,1
Benji Returns,1
Benmar Productions,3
Bennett Pictures Corp.,1
Benny Productions,1
Benson Entertainment Inc.,1
Bent Tree Productions,1
Bentley Filmgroup,1
Benton Film Productions,1
Benzfilm Group,1
Berango Internacional Films,1
Berclays Merchantile Industry Finance,1
Berg- und Sportfilm,1
Bergen,1
Bergfilm,1
Bergman Lustig Productions,9
Bergman,1
Bergquist-Levy Productions,1
Berkeley Productions,1
Berman-Century Productions,1
Bern-Field Productions,2
Bernadette Associates International,2
Bernard Glasser Productions,1
Bernard Lang,2
Bernard Small Productions,1
Bernard Smith Productions,2
Bernard Woolner Productions,1
Bernhard Sinkel Filmproduktion (U.L.M.),1
Bernhard-Brandt Productions,2
Bernhard-Vidor Productions Inc.,1
Bernsen-Ludwig-Bercovici Productions,1
Berolina Film GmbH,1
Berolina,5
Bert E. Friedlob Productions,5
Bert Granet Productions,1
Bert Haanstra Films,1
Bert I. Gordon Productions,3
Bert Kaiser Productions Inc.,1
Bert Marcus Productions,2
Bert Williams Motion Pictures and Distributor,1
Bertram Ostrer Productions,1
Berwick Street Productions,2
Berwin and Dempsey,1
Beshkempir Films,1
Besiktas KÃ¼ltÃ¼r Merkezi (BKM),3
BesoBeso Producciones,1
Bess Movie,2
Best Brains,1
Best FX (Boom Sound),2
Best Films Ltd.,1
Best Little Boy Productions,1
Best Man Filmproduktions,1
Bestboy Pictures,1
Beta Cinema,1
Beta Film TV,1
Beta Film,4
Betar Entertainment,1
Better Than,1
Betty E. Box-Ralph Thomas Productions,1
Beverly Detroit,1
Beverly Films,1
Beverly Ridge Pictures,1
Beyond Films,13
Beyond Infinity,10
Beyond Pictures,1
Beyond Productions,1
Beyond the Box,2
Bhagyalakshmi Enterprises,1
Bhandarkar Entertainment,2
Bhansali Films,1
Bhansali Productions,1
Bhanu Art Creations,1
Bhappi Sonie Productions,1
Bharat Film Works,1
Bharat Films,1
Bharati Productions,1
Bhatt Productions,1
Bhavika Chitra,1
Bi Squad Productions,1
Bi-Jay,1
BiBi Film,3
Bianca Film,13
Bibi Productions,1
Bickman/Rapp Productions,1
Bicycle Pictures,1
Bidangil Pictures,1
Bidou Pictures,1
Big Arty Productions,2
Big Atom Productions,1
Big Authority Films,1
Big Bad Love LLC,1
Big Bang Production,1
Big Bang,1
Big Beach Films,2
Big Bean & The Human Bean Band,1
Big Ben Films,1
Big Boss LLC,1
Big Broad Guerrilla Monster,2
Big Business,1
Big City Pictures,4
Big City,2
Big Critter Pictures,1
Big Daddy Productions,1
